ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",203291,-0.0293,0.2075,0.7749,0.0176,159270,0.8586,0.1414,0.0499,0.0457,0.0119,0.0325,0.0013,
"2",203307,-0.0292,0.2507,0.7318,0.0175,161769,0.8971,0.1029,0.0312,0.0265,0.0102,0.0304,0.0007,
"3",207305,-0.0101,0.2612,0.7219,0.0169,168402,0.8849,0.1151,0.0308,0.041,0.014,0.0249,0.0009,
"4",214884,0.0261,0.2166,0.7683,0.0151,173347,0.9243,0.0757,0.0163,0.0226,0.0091,0.0229,0.0007,
"5",203349,-0.029,0.3325,0.6468,0.0207,159902,0.8387,0.1613,0.0562,0.0575,0.0167,0.029,0.001,
"6",203299,-0.0292,0.4057,0.5738,0.0206,161552,0.8171,0.1829,0.0341,0.0963,0.0249,0.0238,0.0011,
"7",204332,-0.0243,0.4094,0.5684,0.0222,162670,0.8064,0.1936,0.0545,0.0749,0.0384,0.0235,0.0017,
"8",212327,0.0139,0.1939,0.787,0.0191,168689,0.9062,0.0938,0.0417,0.0139,0.0097,0.0246,0.0009,
"9",211348,0.0092,0.2049,0.7773,0.0178,168174,0.8824,0.1176,0.0552,0.0263,0.0087,0.0255,0.0019,
"10",211874,0.0117,0.4135,0.5674,0.0191,168915,0.7201,0.2799,0.0676,0.1599,0.0284,0.026,0.001,
"11",213909,0.0214,0.4059,0.5759,0.0183,168264,0.7584,0.2416,0.0404,0.1545,0.0199,0.0249,0.0012,
"12",214359,0.0236,0.209,0.7745,0.0165,169189,0.9329,0.0671,0.0165,0.0176,0.0052,0.024,0.0006,
"13",203305,-0.0292,0.3771,0.6024,0.0205,151595,0.7194,0.2806,0.0728,0.138,0.0477,0.0224,0.0015,
"14",209385,-0.0002,0.3741,0.6059,0.02,158141,0.6765,0.3235,0.1162,0.1562,0.0278,0.024,0.0018,
"15",206039,-0.0161,0.2472,0.7369,0.016,164720,0.9015,0.0985,0.0369,0.021,0.0117,0.0263,0.0012,
"16",210544,0.0054,0.2544,0.7265,0.0192,164366,0.8731,0.1269,0.0438,0.0423,0.0097,0.0269,0.001,
"17",216082,0.0318,0.3842,0.5887,0.0271,167422,0.7468,0.2532,0.0778,0.1226,0.0282,0.0239,0.0013,
"18",207896,-0.0073,0.3012,0.6822,0.0167,159086,0.8122,0.1878,0.0533,0.0889,0.0183,0.0241,0.0015,
"19",215379,0.0285,0.7753,0.1734,0.0513,164274,0.3257,0.6743,0.1216,0.5123,0.031,0.0189,0.0015,
"20",216076,0.0318,0.548,0.4223,0.0297,175547,0.7688,0.2312,0.0613,0.1106,0.0372,0.0216,0.0014,
"21",216084,0.0318,0.6402,0.3219,0.0379,178373,0.633,0.367,0.1513,0.1261,0.0748,0.0198,0.0014,
"22",216092,0.0319,0.423,0.5459,0.0311,158006,0.6252,0.3748,0.0897,0.2228,0.0372,0.0278,0.0071,
"23",216082,0.0318,0.2795,0.7037,0.0168,167040,0.8622,0.1378,0.0481,0.0512,0.009,0.026,0.001,
"24",212561,0.015,0.2471,0.7355,0.0173,166940,0.8442,0.1558,0.0238,0.0991,0.007,0.0219,0.0013,
"25",204183,-0.025,0.3179,0.6658,0.0162,159046,0.704,0.296,0.0348,0.2322,0.0102,0.018,0.0008,
"26",215745,0.0302,0.2694,0.714,0.0165,170702,0.7792,0.2208,0.0219,0.1698,0.0063,0.0201,0.001,
"27",215763,0.0303,0.341,0.635,0.024,158322,0.8298,0.1702,0.0473,0.044,0.058,0.0159,0.001,
"28",210183,0.0036,0.2999,0.682,0.0181,159001,0.815,0.185,0.0518,0.0944,0.0128,0.023,0.0012,
"29",203170,-0.0298,0.8268,0.1498,0.0234,156945,0.2311,0.7689,0.0359,0.7094,0.0163,0.013,0.001,
"30",203175,-0.0298,0.7084,0.2673,0.0243,152840,0.2871,0.7129,0.0953,0.5743,0.0335,0.0164,0.0012,
"31",203172,-0.0298,0.3801,0.6028,0.0171,157166,0.7029,0.2971,0.0371,0.1733,0.07,0.0144,0.0012,
"32",203169,-0.0298,0.3857,0.5943,0.02,153215,0.6025,0.3975,0.0586,0.2959,0.0209,0.0223,0.0015,
"33",203171,-0.0298,0.8404,0.1379,0.0216,151583,0.1669,0.8331,0.1049,0.6993,0.025,0.0137,0.0011,
"",209419,0.0617,0.3788,0.5999,0.0213,163166,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
