ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",713311,0,0.45,0.4982,0.0518,549351,0.8557,0.1443,0.0569,0.0366,0.0322,0.0143,0.0015,
"2",713312,0,0.5028,0.4436,0.0536,535271,0.7902,0.2098,0.0636,0.0614,0.0618,0.0176,0.0014,
"3",713311,0,0.5562,0.3947,0.0491,549165,0.7575,0.2425,0.0433,0.0908,0.0888,0.0153,0.0012,
"4",713312,0,0.6478,0.2971,0.055,549351,0.6789,0.3211,0.0624,0.1104,0.128,0.0207,0.0016,
"5",713312,0,0.7692,0.1762,0.0546,571885,0.6538,0.3462,0.0855,0.1655,0.0711,0.028,0.0016,
"6",713312,0,0.3933,0.553,0.0538,528178,0.8681,0.1319,0.0304,0.0433,0.0349,0.0161,0.0011,
"7",713312,0,0.3514,0.6071,0.0415,544716,0.9064,0.0936,0.0405,0.0162,0.011,0.0209,0.0016,
"8",713312,0,0.4496,0.5004,0.05,561116,0.8926,0.1074,0.0148,0.0161,0.0117,0.056,0.001,
"",713312,0,0.5169,0.4319,0.0512,548629,0.7995,0.2005,0.0498,0.0681,0.055,0.0238,0.0014,
