ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",87969,-0.0097,0.646,0.3113,0.0428,68082,0.4481,0.5519,0.4339,0.0345,0.0631,0.0496,0.0023,
"2",88172,-0.0074,0.7361,0.2329,0.031,75410,0.8329,0.1671,0.0737,0.0248,0.0483,0.0168,0.0021,
"3",87498,-0.015,0.6244,0.3311,0.0445,71649,0.6716,0.3284,0.1666,0.0781,0.0571,0.0329,0.0036,
"4",87718,-0.0125,0.7894,0.1718,0.0387,70011,0.5555,0.4445,0.3536,0.0344,0.0354,0.0445,0.0023,
"5",86960,-0.021,0.7906,0.1689,0.0405,75215,0.5895,0.4105,0.2863,0.0578,0.0476,0.0377,0.0026,
"6",87264,-0.0176,0.8115,0.1518,0.0367,76217,0.7038,0.2962,0.1252,0.1015,0.0502,0.0262,0.0026,
"7",90537,0.0193,0.7963,0.1742,0.0295,62860,0.2208,0.7792,0.4419,0.2513,0.0768,0.0363,0.0112,
"8",90282,0.0164,0.8504,0.1181,0.0316,71747,0.5975,0.4025,0.1667,0.1785,0.0406,0.0316,0.0026,
"9",90478,0.0186,0.7146,0.2455,0.0399,74294,0.644,0.356,0.1494,0.1285,0.0593,0.0282,0.0036,
"10",90284,0.0164,0.8455,0.1152,0.0393,79468,0.767,0.233,0.1017,0.021,0.0866,0.0176,0.003,
"11",88336,-0.0055,0.6292,0.3232,0.0476,68985,0.6889,0.3111,0.221,0.0171,0.0434,0.0323,0.0021,
"12",86485,-0.0264,0.7347,0.2298,0.0355,67755,0.7895,0.2105,0.1003,0.0158,0.068,0.0204,0.0018,
"13",90259,0.0161,0.5068,0.4474,0.0458,75888,0.821,0.179,0.1182,0.0126,0.016,0.0273,0.0028,
"14",90615,0.0201,0.3515,0.6071,0.0414,68705,0.7733,0.2267,0.0911,0.0411,0.0686,0.0233,0.0039,
"15",90074,0.014,0.3608,0.5843,0.0548,64326,0.6441,0.3559,0.1675,0.0939,0.0688,0.0349,0.0097,
"16",88844,0.0002,0.4673,0.479,0.0538,72178,0.705,0.295,0.1648,0.0667,0.0319,0.0415,0.0046,
"17",88286,-0.0061,0.5265,0.4054,0.0681,64966,0.4698,0.5302,0.3046,0.1523,0.0493,0.0479,0.011,
"18",87518,-0.0147,0.4891,0.4649,0.046,72932,0.7682,0.2318,0.1129,0.0482,0.0428,0.0327,0.0053,
"19",89240,0.0047,0.4801,0.4772,0.0428,65035,0.7609,0.2391,0.149,0.0131,0.0496,0.0269,0.0027,
"20",88807,-0.0002,0.2635,0.6973,0.0393,66657,0.8086,0.1914,0.0849,0.0355,0.0404,0.0255,0.0047,
"21",88817,-0.0001,0.3871,0.5479,0.065,64459,0.5902,0.4098,0.197,0.1292,0.0506,0.0394,0.0169,
"22",89747,0.0104,0.3576,0.5889,0.0536,69061,0.732,0.268,0.1299,0.0625,0.0476,0.0326,0.0065,
"23",87524,-0.0147,0.5852,0.3674,0.0474,72384,0.7553,0.2447,0.1538,0.0217,0.0375,0.0357,0.0026,
"24",90850,0.0228,0.5206,0.4343,0.0451,72893,0.7864,0.2136,0.1351,0.0162,0.0331,0.0323,0.0025,
"25",88920,0.0011,0.4828,0.478,0.0392,70304,0.8686,0.1314,0.0637,0.0097,0.0266,0.0225,0.0023,
"26",90725,0.0214,0.4992,0.4602,0.0406,70662,0.7743,0.2257,0.1749,0.0097,0.0159,0.0232,0.0022,
"27",87902,-0.0104,0.5453,0.4116,0.043,69734,0.8186,0.1814,0.0988,0.0143,0.0412,0.025,0.0019,
"28",86975,-0.0208,0.497,0.4604,0.0426,68934,0.7781,0.2219,0.1234,0.0188,0.0519,0.0293,0.0023,
"29",88612,-0.0024,0.5482,0.407,0.0448,70893,0.7303,0.2697,0.1512,0.0223,0.0679,0.0303,0.0025,
"30",86793,-0.0229,0.6109,0.3398,0.0492,70967,0.6325,0.3675,0.2614,0.0304,0.0471,0.0417,0.0025,
"31",87110,-0.0193,0.5625,0.3852,0.0523,63781,0.4628,0.5372,0.4255,0.0306,0.0604,0.0414,0.0031,
"32",88894,0.0008,0.5607,0.3908,0.0485,62736,0.4111,0.5889,0.489,0.0431,0.0368,0.0474,0.0027,
"33",87638,-0.0134,0.555,0.4048,0.0403,68046,0.7489,0.2511,0.1225,0.0201,0.083,0.0233,0.0028,
"34",87400,-0.0161,0.5134,0.4381,0.0485,65707,0.6206,0.3794,0.2576,0.0279,0.0673,0.0413,0.0029,
"35",89843,0.0114,0.6334,0.3152,0.0514,67910,0.4319,0.5681,0.4688,0.0242,0.0512,0.0475,0.0031,
"36",87839,-0.0111,0.6209,0.3351,0.044,63820,0.3646,0.6354,0.3721,0.1692,0.0775,0.0401,0.0076,
"37",87811,-0.0114,0.5349,0.4328,0.0322,67744,0.7564,0.2436,0.08,0.0412,0.1016,0.0182,0.0028,
"38",88827,0,0.5059,0.4543,0.0399,70678,0.8214,0.1786,0.0987,0.0193,0.0336,0.0267,0.0021,
"39",87208,-0.0182,0.3875,0.5796,0.0329,66737,0.8069,0.1931,0.072,0.0201,0.0764,0.021,0.0025,
"40",90235,0.0159,0.5684,0.3856,0.046,68002,0.5737,0.4263,0.1718,0.1377,0.098,0.0317,0.0057,
"41",89053,0.0026,0.6296,0.3282,0.0422,70209,0.505,0.495,0.2128,0.192,0.0751,0.0319,0.0051,
"42",90864,0.0229,0.6972,0.2569,0.0459,67080,0.3001,0.6999,0.3939,0.228,0.0616,0.0391,0.0094,
"43",88172,-0.0074,0.4612,0.503,0.0358,66210,0.8004,0.1996,0.0801,0.019,0.0775,0.0184,0.0023,
"44",90502,0.0189,0.3974,0.5612,0.0414,65619,0.7787,0.2213,0.0887,0.027,0.083,0.0213,0.0033,
"45",89251,0.0048,0.3579,0.6013,0.0407,65002,0.8221,0.1779,0.0936,0.0215,0.0348,0.0244,0.0041,
"46",90688,0.021,0.5066,0.4501,0.0433,72507,0.5634,0.4366,0.361,0.0306,0.0171,0.0509,0.0026,
"47",88092,-0.0083,0.3548,0.6074,0.0377,72247,0.6285,0.3715,0.2982,0.0252,0.0123,0.0515,0.0025,
"48",88866,0.0004,0.3768,0.5771,0.046,65489,0.5819,0.4181,0.3518,0.0164,0.0218,0.0404,0.003,
"49",86540,-0.0257,0.6254,0.3365,0.0381,72310,0.8784,0.1216,0.0537,0.0088,0.0259,0.0225,0.0019,
"50",87912,-0.0103,0.4956,0.4476,0.0568,64492,0.4725,0.5275,0.441,0.0369,0.0272,0.0427,0.0035,
"51",87862,-0.0109,0.4261,0.527,0.0469,70383,0.8277,0.1723,0.1066,0.0135,0.0185,0.0314,0.0025,
"52",90787,0.0221,0.5798,0.3763,0.0438,71128,0.8035,0.1965,0.0997,0.0197,0.0487,0.0236,0.0029,
"53",90449,0.0183,0.6837,0.2621,0.0542,76701,0.7724,0.2276,0.1278,0.0251,0.0472,0.0285,0.0032,
"54",90837,0.0226,0.2617,0.6985,0.0397,70406,0.8075,0.1925,0.129,0.0099,0.0121,0.0369,0.002,
"55",87598,-0.0138,0.3686,0.5884,0.043,70508,0.7968,0.2032,0.1293,0.0129,0.0218,0.0349,0.0039,
"56",88074,-0.0085,0.221,0.7421,0.0369,67419,0.8079,0.1921,0.1112,0.0215,0.0217,0.0351,0.0035,
"57",88729,-0.0011,0.5595,0.4029,0.0375,68190,0.7032,0.2968,0.2426,0.0105,0.0156,0.0297,0.0021,
"58",89790,0.0108,0.4205,0.5431,0.0364,72393,0.8207,0.1793,0.1218,0.0078,0.0112,0.0338,0.0025,
"59",90452,0.0183,0.4917,0.4659,0.0424,72937,0.7726,0.2274,0.1134,0.0086,0.0127,0.0926,0.0024,
"60",87230,-0.018,0.2968,0.6633,0.0399,75902,0.808,0.192,0.103,0.0299,0.0125,0.0385,0.0019,
"61",90265,0.0162,0.4948,0.4706,0.0346,65627,0.6656,0.3344,0.1084,0.0894,0.1191,0.0232,0.0037,
"62",89177,0.0039,0.5498,0.4059,0.0443,67764,0.4561,0.5439,0.48,0.0233,0.011,0.0608,0.0026,
"63",87197,-0.0183,0.2174,0.7518,0.0307,67587,0.7269,0.2731,0.2143,0.0245,0.0088,0.0293,0.0023,
"64",90012,0.0133,0.3601,0.5994,0.0405,67313,0.7467,0.2533,0.1913,0.0123,0.021,0.0315,0.0019,
"65",90019,0.0134,0.3658,0.5956,0.0387,66321,0.8279,0.1721,0.1088,0.0111,0.0223,0.0253,0.0022,
"",88826,0.0493,0.5218,0.436,0.0423,69378,0.6865,0.3135,0.1916,0.0486,0.0456,0.0335,0.0036,
