ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"ADD",39326,-0.205,0.603,0.3472,0.0497,32604,0.9008,0.0992,0.0291,0.0144,0.0239,0.0218,0.0011,
"BEN",39602,-0.1994,0.5574,0.3746,0.068,32094,0.9189,0.0811,0.0215,0.0146,0.0143,0.0194,0.0009,
"CAL",39171,-0.2081,0.4923,0.4488,0.059,31298,0.9206,0.0794,0.0171,0.0096,0.0123,0.0281,0.0011,
"CGI",22711,-0.5409,0.5698,0.3909,0.0393,18648,0.8956,0.1044,0.0215,0.0231,0.0287,0.0231,0.0017,
"CHI",148836,2.0088,0.6637,0.2923,0.044,122687,0.8656,0.1344,0.0258,0.0305,0.0509,0.018,0.0009,
"E-O",38513,-0.2214,0.4593,0.4797,0.061,31106,0.9333,0.0667,0.0125,0.0077,0.0072,0.0315,0.0009,
"FRA",48522,-0.0191,0.4766,0.4724,0.0509,37811,0.914,0.086,0.0159,0.0098,0.0091,0.0417,0.0011,
"LAM",24275,-0.5093,0.5866,0.3587,0.0547,19433,0.9174,0.0826,0.0222,0.016,0.0092,0.0253,0.0019,
"ORA",20339,-0.5888,0.5463,0.3997,0.0541,16519,0.9265,0.0735,0.0134,0.0088,0.0083,0.0292,0.0005,
"RUT",59187,0.1965,0.4769,0.4698,0.0533,48853,0.9198,0.0802,0.018,0.0116,0.0108,0.0236,0.0008,
"WAS",59807,0.209,0.6115,0.3355,0.053,48717,0.9099,0.0901,0.0234,0.0157,0.0138,0.0241,0.0009,
"WDM",41731,-0.1564,0.6523,0.2816,0.0661,34416,0.9057,0.0943,0.0242,0.0187,0.015,0.0251,0.0011,
"WSR",61057,0.2343,0.5825,0.3596,0.0578,50296,0.9227,0.0773,0.0172,0.0118,0.0131,0.0239,0.0008,
"Summary",49467,2.5976,0.5791,0.3678,0.0531,40345,0.904,0.096,0.0212,0.0172,0.0222,0.0244,0.001,
