ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",95199,-0.049,0.7419,0.2375,0.0206,72409,0.3169,0.6831,0.4456,0.2022,0.0504,0.0191,0.0027,
"2",95768,-0.0433,0.8293,0.1515,0.0192,77243,0.2646,0.7354,0.1519,0.5572,0.0377,0.0153,0.0018,
"3",100231,0.0013,0.6106,0.3632,0.0262,78245,0.5515,0.4485,0.1769,0.1796,0.0873,0.016,0.0017,
"4",103085,0.0298,0.5898,0.3788,0.0314,81538,0.6837,0.3163,0.1044,0.1064,0.0966,0.0152,0.0011,
"5",99056,-0.0104,0.6421,0.3287,0.0292,78456,0.742,0.258,0.0812,0.0662,0.0964,0.0096,0.0009,
"6",98301,-0.018,0.6046,0.3712,0.0242,76853,0.536,0.464,0.3018,0.1326,0.0377,0.0139,0.002,
"7",95996,-0.041,0.4879,0.4826,0.0295,82326,0.8081,0.1919,0.0684,0.0731,0.0324,0.0148,0.0008,
"8",98681,-0.0142,0.4922,0.4783,0.0296,78032,0.8467,0.1533,0.0583,0.0293,0.047,0.0143,0.001,
"9",101408,0.0131,0.5714,0.4009,0.0277,83165,0.7212,0.2788,0.0882,0.0913,0.0904,0.0135,0.001,
"10",96926,-0.0317,0.8577,0.1272,0.0151,75068,0.2777,0.7223,0.2365,0.4377,0.06,0.0224,0.0025,
"11",96099,-0.04,0.7764,0.2049,0.0186,78482,0.4942,0.5058,0.2385,0.1742,0.0961,0.019,0.0014,
"12",97471,-0.0263,0.5474,0.4333,0.0192,80205,0.8833,0.1167,0.044,0.0207,0.036,0.0095,0.0007,
"13",98961,-0.0114,0.572,0.4032,0.0248,78037,0.6446,0.3554,0.2161,0.1004,0.0373,0.0177,0.0015,
"14",95096,-0.05,0.5276,0.4539,0.0185,78063,0.7762,0.2238,0.0899,0.0613,0.0587,0.0128,0.0009,
"15",105079,0.0498,0.5712,0.4095,0.0193,78430,0.4177,0.5823,0.3318,0.2255,0.0248,0.0196,0.0031,
"16",101256,0.0116,0.442,0.5367,0.0213,81581,0.7677,0.2323,0.1074,0.0828,0.0314,0.0125,0.0014,
"17",100684,0.0058,0.5645,0.4157,0.0199,79935,0.6292,0.3708,0.1321,0.1832,0.0446,0.0146,0.0013,
"18",99394,-0.007,0.5169,0.4508,0.0324,80315,0.8293,0.1707,0.0578,0.0434,0.04,0.027,0.0033,
"19",97880,-0.0222,0.5166,0.4504,0.0329,78569,0.741,0.259,0.0943,0.0825,0.0542,0.0323,0.0027,
"20",95671,-0.0442,0.5723,0.3997,0.028,78618,0.7445,0.2555,0.1208,0.082,0.042,0.0211,0.0028,
"21",103266,0.0316,0.4861,0.4952,0.0187,83872,0.7473,0.2527,0.1147,0.0896,0.0375,0.0092,0.001,
"22",100927,0.0083,0.6123,0.372,0.0157,77784,0.5188,0.4812,0.2153,0.1942,0.0481,0.0135,0.0016,
"23",99780,-0.0032,0.86,0.1289,0.0111,74566,0.1171,0.8829,0.4347,0.4284,0.0311,0.0212,0.0027,
"24",103024,0.0292,0.5631,0.4182,0.0187,81460,0.5432,0.4568,0.2575,0.0813,0.065,0.0159,0.0016,
"25",101774,0.0167,0.6369,0.3457,0.0174,79856,0.5539,0.4461,0.2514,0.1299,0.0601,0.0144,0.0012,
"26",102354,0.0225,0.6099,0.3731,0.017,75975,0.8145,0.1855,0.0742,0.0292,0.0672,0.0069,0.0007,
"27",105093,0.0499,0.6757,0.3076,0.0166,83412,0.4671,0.5329,0.2803,0.1536,0.0956,0.0159,0.0014,
"28",104269,0.0417,0.5519,0.4291,0.019,81398,0.8406,0.1594,0.0667,0.0265,0.0465,0.0087,0.0006,
"29",104418,0.0431,0.5551,0.4117,0.0333,86810,0.7536,0.2464,0.1197,0.0437,0.064,0.0223,0.0015,
"30",104615,0.0451,0.4897,0.4873,0.023,85088,0.8482,0.1518,0.0682,0.0254,0.0305,0.0151,0.0009,
"31",100026,-0.0007,0.4641,0.5116,0.0243,80823,0.8,0.2,0.1039,0.0548,0.027,0.0171,0.0012,
"32",104966,0.0486,0.43,0.5507,0.0194,85306,0.8674,0.1326,0.0546,0.0241,0.0316,0.0104,0.0008,
"33",98384,-0.0171,0.517,0.456,0.027,80631,0.8959,0.1041,0.0429,0.0181,0.0192,0.0139,0.0011,
"34",96609,-0.0349,0.4829,0.4975,0.0196,78961,0.8082,0.1918,0.0946,0.0376,0.047,0.0117,0.0011,
"35",97706,-0.0239,0.5015,0.4655,0.033,78761,0.8493,0.1507,0.0494,0.0377,0.0395,0.0185,0.0011,
"36",104113,0.0401,0.5501,0.4341,0.0158,78954,0.765,0.235,0.1029,0.033,0.0798,0.0073,0.001,
"",100099,0.0999,0.5674,0.4095,0.0231,79701,0.667,0.333,0.1501,0.1182,0.0525,0.0156,0.0015,
