ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",506402,0.025,0.4054,0.5741,0.0206,414743,0.7803,0.2197,0.1089,0.0179,0.0324,0.0539,0.0055,
"2",504804,0.0218,0.6753,0.2978,0.0269,407622,0.6715,0.3285,0.1924,0.0225,0.0473,0.0681,0.0068,
"3",496832,0.0056,0.4126,0.5655,0.0219,379767,0.6138,0.3862,0.223,0.0276,0.0853,0.0566,0.0067,
"4",475880,-0.0368,0.6535,0.3252,0.0213,376074,0.5293,0.4707,0.2971,0.0302,0.1128,0.0406,0.0078,
"5",498465,0.009,0.4155,0.5637,0.0208,385197,0.717,0.283,0.1231,0.0235,0.1026,0.0321,0.0069,
"6",518242,0.049,0.6714,0.3067,0.022,403534,0.4686,0.5314,0.2198,0.1204,0.1666,0.0371,0.0158,
"7",491703,-0.0047,0.497,0.4781,0.0249,384636,0.6053,0.3947,0.1629,0.0777,0.1225,0.0353,0.0113,
"8",501653,0.0154,0.3996,0.5838,0.0166,393821,0.6105,0.3895,0.2213,0.0327,0.0956,0.048,0.005,
"9",470020,-0.0486,0.4036,0.5794,0.017,360462,0.4919,0.5081,0.3442,0.0378,0.0976,0.0404,0.0096,
"10",518416,0.0493,0.6764,0.3056,0.018,385391,0.2537,0.7463,0.2407,0.1509,0.3311,0.0332,0.0296,
"11",514921,0.0423,0.6142,0.3657,0.0201,405103,0.3903,0.6097,0.2541,0.1511,0.187,0.0355,0.0174,
"12",482778,-0.0228,0.7694,0.2105,0.0201,388480,0.6513,0.3487,0.2084,0.0303,0.0816,0.0334,0.0065,
"13",489925,-0.0083,0.636,0.3462,0.0178,354542,0.232,0.768,0.3938,0.12,0.2476,0.0378,0.0143,
"14",475705,-0.0371,0.8832,0.0993,0.0174,386567,0.3742,0.6258,0.2394,0.1312,0.2399,0.0283,0.0078,
"15",512289,0.0369,0.6744,0.3054,0.0201,394781,0.406,0.594,0.2886,0.1138,0.1743,0.0329,0.0135,
"16",516216,0.0449,0.6544,0.3251,0.0205,396199,0.549,0.451,0.1039,0.0283,0.3022,0.0168,0.0062,
"17",518498,0.0495,0.8786,0.1036,0.0179,452751,0.3771,0.6229,0.1748,0.0837,0.3516,0.0234,0.0086,
"18",485267,-0.0178,0.8982,0.0823,0.0195,390832,0.2863,0.7137,0.246,0.2293,0.2298,0.036,0.0106,
"19",503871,0.0199,0.8249,0.1575,0.0176,429658,0.3625,0.6375,0.1361,0.0364,0.454,0.0153,0.0082,
"20",516830,0.0461,0.7547,0.227,0.0183,408210,0.2236,0.7764,0.2854,0.0957,0.3784,0.0294,0.024,
"21",493702,-0.0007,0.765,0.2184,0.0166,389622,0.3917,0.6083,0.2569,0.032,0.2935,0.0225,0.0202,
"22",471588,-0.0455,0.5155,0.4661,0.0184,346842,0.4032,0.5968,0.446,0.0395,0.0837,0.0454,0.014,
"23",474000,-0.0406,0.7631,0.2175,0.0194,377521,0.5024,0.4976,0.1212,0.0246,0.3342,0.016,0.0072,
"24",478426,-0.0316,0.7147,0.2683,0.017,374160,0.1631,0.8369,0.152,0.0307,0.6464,0.0168,0.0102,
"25",497894,0.0078,0.741,0.2419,0.017,392306,0.1653,0.8347,0.3897,0.0384,0.4022,0.0334,0.0078,
"26",472660,-0.0433,0.7499,0.2292,0.0209,377950,0.2954,0.7046,0.164,0.0284,0.5011,0.0177,0.0068,
"27",512647,0.0377,0.5492,0.4331,0.0177,368670,0.2351,0.7649,0.6191,0.0481,0.0857,0.0514,0.0051,
"28",473114,-0.0424,0.708,0.2686,0.0233,373660,0.5563,0.4437,0.1933,0.0293,0.2006,0.0274,0.007,
"29",495410,0.0028,0.6761,0.3048,0.0191,361934,0.2213,0.7787,0.6795,0.0228,0.0693,0.0541,0.0062,
"30",474319,-0.0399,0.6168,0.3619,0.0213,391544,0.6584,0.3416,0.2052,0.0315,0.0772,0.0328,0.0082,
"31",498044,0.0081,0.6368,0.3476,0.0156,348453,0.1846,0.8154,0.6085,0.0698,0.1273,0.0453,0.0039,
"32",515015,0.0424,0.3277,0.6553,0.0169,386203,0.545,0.455,0.3128,0.0376,0.0716,0.0471,0.0045,
"33",505368,0.0229,0.4574,0.5258,0.0168,362075,0.26,0.74,0.6454,0.0335,0.0459,0.0388,0.0041,
"34",518705,0.0499,0.3887,0.5936,0.0177,400105,0.4803,0.5197,0.3258,0.1098,0.0604,0.0436,0.0077,
"35",482837,-0.0227,0.5994,0.3807,0.0199,341164,0.1557,0.8443,0.7095,0.0697,0.0576,0.0409,0.0031,
"36",469902,-0.0489,0.5676,0.4169,0.0156,355447,0.2449,0.7551,0.6597,0.0443,0.0406,0.0394,0.0042,
"37",474067,-0.0404,0.613,0.3665,0.0205,372614,0.4682,0.5318,0.41,0.0247,0.0806,0.0406,0.0046,
"38",485654,-0.017,0.6368,0.3425,0.0207,370401,0.3545,0.6455,0.5293,0.0289,0.0747,0.0452,0.0058,
"39",484755,-0.0188,0.615,0.3642,0.0208,339806,0.1996,0.8004,0.573,0.1744,0.0462,0.0444,0.006,
"40",517085,0.0466,0.5614,0.4194,0.0192,406132,0.4428,0.5572,0.3089,0.0574,0.182,0.0252,0.005,
"41",485018,-0.0183,0.6,0.3811,0.0189,392879,0.4611,0.5389,0.2872,0.0769,0.1658,0.0299,0.0047,
"42",517503,0.0475,0.5652,0.4158,0.0189,413847,0.6647,0.3353,0.172,0.0251,0.1193,0.0209,0.0042,
"43",508082,0.0284,0.7741,0.206,0.0199,389890,0.1704,0.8296,0.692,0.041,0.0951,0.0388,0.0028,
"44",514568,0.0415,0.7009,0.2807,0.0184,427134,0.6114,0.3886,0.1975,0.0495,0.1311,0.0208,0.0035,
"45",490577,-0.007,0.6513,0.3291,0.0197,352720,0.1743,0.8257,0.6241,0.1321,0.0656,0.041,0.006,
"46",503724,0.0196,0.6974,0.2847,0.0179,400708,0.4264,0.5736,0.367,0.0597,0.1401,0.0269,0.0035,
"47",518651,0.0498,0.5028,0.4832,0.014,414224,0.5477,0.4523,0.3264,0.0453,0.0587,0.0368,0.0042,
"48",482665,-0.023,0.6529,0.3272,0.0199,380137,0.1671,0.8329,0.5791,0.036,0.2174,0.0375,0.004,
"49",474851,-0.0388,0.6741,0.3088,0.0171,384610,0.1176,0.8824,0.2856,0.0171,0.581,0.0204,0.003,
"50",489965,-0.0083,0.6185,0.3613,0.0203,366511,0.2172,0.7828,0.5648,0.0944,0.1194,0.0362,0.0057,
"51",497330,0.0067,0.8058,0.1784,0.0158,437482,0.5983,0.4017,0.1658,0.058,0.163,0.0184,0.0036,
"52",518060,0.0486,0.8366,0.1443,0.019,420612,0.2802,0.7198,0.5392,0.0297,0.1488,0.0361,0.0034,
"53",475714,-0.0371,0.6473,0.333,0.0197,363249,0.1657,0.8343,0.6258,0.0687,0.1374,0.0405,0.0051,
"54",505678,0.0236,0.8222,0.1574,0.0204,407319,0.0978,0.9022,0.6001,0.0606,0.2428,0.0438,0.003,
"55",476444,-0.0356,0.86,0.1244,0.0157,392865,0.3142,0.6858,0.314,0.2363,0.1297,0.0297,0.0039,
"56",493173,-0.0018,0.6637,0.3179,0.0184,389563,0.1135,0.8865,0.5692,0.0196,0.2983,0.0335,0.0038,
"57",507191,0.0266,0.8865,0.0959,0.0175,377407,0.066,0.934,0.6793,0.1981,0.0577,0.0419,0.0028,
"58",496636,0.0052,0.581,0.3982,0.0208,369972,0.2513,0.7487,0.5809,0.0667,0.0913,0.0392,0.0062,
"59",470576,-0.0475,0.4474,0.5335,0.0191,372330,0.4491,0.5509,0.2529,0.0302,0.2559,0.0223,0.0054,
"60",469942,-0.0488,0.6161,0.3657,0.0182,337215,0.2039,0.7961,0.5947,0.1335,0.0603,0.0412,0.0073,
"61",491779,-0.0046,0.8435,0.1401,0.0164,387174,0.2073,0.7927,0.4241,0.2858,0.0783,0.0332,0.0068,
"62",472817,-0.043,0.7469,0.2325,0.0205,356209,0.1066,0.8934,0.7398,0.0742,0.0764,0.0444,0.0067,
"63",478438,-0.0316,0.4396,0.5438,0.0166,366879,0.4294,0.5706,0.3391,0.0805,0.137,0.0318,0.0081,
"64",512311,0.037,0.6686,0.3113,0.0201,394300,0.1471,0.8529,0.7059,0.0331,0.1107,0.0425,0.0048,
"65",503396,0.0189,0.817,0.1647,0.0183,374861,0.0825,0.9175,0.5968,0.2259,0.0922,0.036,0.0108,
"66",474015,-0.0405,0.6054,0.3728,0.0218,379339,0.4654,0.5346,0.1965,0.054,0.2707,0.0212,0.0083,
"67",473294,-0.042,0.5878,0.3929,0.0193,370990,0.2237,0.7763,0.369,0.0428,0.3566,0.0285,0.0088,
"68",485224,-0.0179,0.671,0.3086,0.0205,369129,0.1824,0.8176,0.6698,0.0235,0.1193,0.0494,0.0055,
"69",479919,-0.0286,0.7104,0.2669,0.0227,384959,0.2964,0.7036,0.3722,0.1259,0.1943,0.0327,0.0147,
"70",472278,-0.0441,0.5206,0.4617,0.0177,374003,0.2415,0.7585,0.3065,0.0169,0.4248,0.0229,0.0079,
"71",494346,0.0006,0.4176,0.563,0.0194,373140,0.5684,0.4316,0.2266,0.0475,0.1387,0.0285,0.008,
"72",495360,0.0027,0.4751,0.5058,0.019,407288,0.6418,0.3582,0.1571,0.0198,0.1613,0.0205,0.0061,
"73",500525,0.0131,0.6011,0.3783,0.0206,395334,0.3923,0.6077,0.2056,0.0298,0.3618,0.0176,0.0057,
"74",512202,0.0368,0.4934,0.4856,0.021,408182,0.5591,0.4409,0.293,0.0401,0.0865,0.0313,0.0113,
"75",471193,-0.0463,0.4023,0.5781,0.0196,371068,0.6233,0.3767,0.2157,0.0355,0.0929,0.0384,0.0084,
"76",471670,-0.0453,0.5317,0.448,0.0203,356594,0.4816,0.5184,0.2762,0.0312,0.1968,0.0248,0.0068,
"77",508556,0.0294,0.6217,0.3567,0.0216,425085,0.6737,0.3263,0.1363,0.0336,0.1344,0.0184,0.0061,
"78",512852,0.0381,0.6655,0.3126,0.0219,427207,0.5207,0.4793,0.2016,0.0624,0.1988,0.0244,0.0101,
"79",505901,0.024,0.6584,0.3211,0.0205,386879,0.2993,0.7007,0.3967,0.1318,0.1654,0.0315,0.0121,
"80",517104,0.0467,0.6683,0.3127,0.019,392832,0.1646,0.8354,0.6154,0.0612,0.1632,0.0335,0.01,
"",494043,0.0988,0.63,0.3507,0.0194,385339,0.3787,0.6213,0.3595,0.0681,0.1785,0.0339,0.0077,
