ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",736715,0,0.4811,0.4919,0.0269,575451,0.7824,0.2176,0.1024,0.0709,0.0243,0.0193,0.0011,
"2",736715,0,0.6949,0.2813,0.0238,584519,0.82,0.18,0.0567,0.0466,0.0576,0.0156,0.0012,
"3",736716,0,0.4866,0.4832,0.0303,580338,0.9095,0.0905,0.0266,0.0165,0.024,0.0175,0.0011,
"4",736714,0,0.7345,0.2413,0.0241,558133,0.4705,0.5295,0.1535,0.3146,0.0519,0.0213,0.0014,
"5",736715,0,0.3469,0.6303,0.0228,578845,0.8836,0.1164,0.0472,0.0194,0.031,0.0132,0.0009,
"6",736714,0,0.4088,0.563,0.0282,582819,0.8853,0.1147,0.0424,0.0254,0.0258,0.0162,0.0009,
"7",736715,0,0.406,0.5668,0.0272,580264,0.9144,0.0856,0.0194,0.01,0.0166,0.0324,0.001,
"8",736714,0,0.4137,0.5589,0.0273,571931,0.8677,0.1323,0.0483,0.0197,0.0234,0.0378,0.001,
"Summary",736715,0,0.4934,0.4803,0.0262,576538,0.8183,0.1817,0.0616,0.0642,0.0318,0.0216,0.0011,
