ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",219464,0.0171,0.3485,0.6359,0.0156,171159,0.8185,0.1815,0.0827,0.0541,0.0212,0.0223,0.0012,
"2",213860,-0.0089,0.3239,0.6597,0.0164,171233,0.8308,0.1692,0.084,0.0498,0.0225,0.0163,0.0013,
"3",213402,-0.011,0.3506,0.6345,0.0149,171522,0.8643,0.1357,0.0281,0.0693,0.0166,0.0191,0.0013,
"4",220600,0.0223,0.4816,0.5011,0.0173,174441,0.7424,0.2576,0.0474,0.1575,0.0319,0.0204,0.0011,
"5",219146,0.0156,0.3351,0.6494,0.0155,182838,0.856,0.144,0.0265,0.0484,0.0488,0.0168,0.0009,
"6",213557,-0.0103,0.2141,0.7777,0.0082,174280,0.9313,0.0687,0.0121,0.0315,0.0054,0.017,0.0009,
"7",217620,0.0085,0.2895,0.7009,0.0096,175743,0.8233,0.1767,0.0352,0.1171,0.0064,0.017,0.001,
"8",214868,-0.0042,0.3192,0.6618,0.0189,172146,0.7642,0.2358,0.0306,0.164,0.0197,0.0188,0.0011,
"9",214702,-0.005,0.4045,0.5884,0.0071,173829,0.6087,0.3913,0.0261,0.3453,0.0077,0.0145,0.0007,
"10",214277,-0.007,0.3587,0.6284,0.0129,174465,0.7507,0.2493,0.0298,0.1857,0.0132,0.0187,0.0012,
"11",214453,-0.0062,0.6162,0.3654,0.0183,173053,0.726,0.274,0.0531,0.1307,0.0721,0.017,0.0012,
"12",219101,0.0154,0.4468,0.5352,0.018,167210,0.719,0.281,0.0497,0.1668,0.0484,0.0173,0.0014,
"13",213623,-0.01,0.6135,0.3765,0.01,170323,0.4115,0.5885,0.0511,0.506,0.0165,0.022,0.0023,
"14",219881,0.019,0.8023,0.1769,0.0209,183494,0.4939,0.5061,0.0488,0.404,0.045,0.0157,0.0015,
"15",219647,0.0179,0.631,0.355,0.014,165046,0.3931,0.6069,0.1695,0.3939,0.0351,0.0225,0.0017,
"16",218175,0.0111,0.5532,0.4269,0.0199,167908,0.6255,0.3745,0.0643,0.1534,0.1405,0.0138,0.0013,
"17",216724,0.0044,0.5185,0.4704,0.0111,172544,0.515,0.485,0.0304,0.4221,0.0186,0.0191,0.0019,
"18",213095,-0.0125,0.631,0.3543,0.0146,162070,0.4427,0.5573,0.0569,0.4527,0.0344,0.0241,0.0032,
"19",212136,-0.0169,0.4105,0.5722,0.0174,164113,0.6858,0.3142,0.0622,0.1667,0.0669,0.0218,0.0041,
"20",217760,0.0092,0.4629,0.5202,0.0169,174267,0.6987,0.3013,0.0703,0.1667,0.0464,0.0216,0.0037,
"21",214208,-0.0073,0.7421,0.2409,0.0169,172078,0.4119,0.5881,0.088,0.4389,0.0544,0.0228,0.0048,
"22",214017,-0.0082,0.568,0.4123,0.0197,164146,0.4961,0.5039,0.0826,0.283,0.1291,0.0228,0.005,
"23",215570,-0.001,0.7018,0.2827,0.0154,169229,0.376,0.624,0.0654,0.5124,0.039,0.0243,0.0038,
"24",211657,-0.0191,0.5168,0.4639,0.0193,164257,0.5637,0.4363,0.0766,0.2888,0.0594,0.0218,0.0044,
"25",211418,-0.0202,0.4198,0.5672,0.013,165900,0.6719,0.3281,0.0535,0.2303,0.0221,0.0248,0.0019,
"26",217507,0.008,0.3758,0.6079,0.0164,172301,0.8118,0.1882,0.033,0.1037,0.0276,0.0214,0.0018,
"27",213276,-0.0116,0.4908,0.4905,0.0187,159116,0.6077,0.3923,0.1161,0.2057,0.0519,0.0271,0.0031,
"28",211795,-0.0185,0.3633,0.6215,0.0152,163366,0.7679,0.2321,0.0748,0.1126,0.0215,0.0232,0.0018,
"29",210667,-0.0237,0.5911,0.3915,0.0174,154021,0.418,0.582,0.2237,0.2434,0.1059,0.0264,0.0036,
"30",215164,-0.0029,0.581,0.4001,0.0189,157210,0.4571,0.5429,0.2653,0.1363,0.132,0.0236,0.0021,
"31",220298,0.0209,0.533,0.4479,0.0191,163308,0.6655,0.3345,0.1225,0.0756,0.1202,0.0165,0.0021,
"32",220785,0.0232,0.6416,0.342,0.0164,155413,0.4435,0.5565,0.1353,0.0949,0.3179,0.0143,0.0021,
"33",218140,0.0109,0.6544,0.3273,0.0183,161742,0.4256,0.5744,0.2017,0.2196,0.1486,0.0199,0.0033,
"34",216619,0.0039,0.7047,0.2752,0.02,163533,0.4612,0.5388,0.1888,0.2077,0.1349,0.0201,0.0035,
"35",220336,0.0211,0.6917,0.2889,0.0194,168996,0.446,0.554,0.2016,0.1018,0.241,0.0179,0.0019,
"36",212521,-0.0151,0.6433,0.3366,0.0201,163587,0.4889,0.5111,0.1119,0.0795,0.31,0.0129,0.002,
"37",213326,-0.0114,0.6942,0.2832,0.0226,166915,0.5304,0.4696,0.1465,0.0599,0.2509,0.0147,0.002,
"38",215783,0,0.6764,0.302,0.0216,165901,0.5721,0.4279,0.1199,0.0786,0.2168,0.0133,0.0019,
"39",220720,0.0229,0.7817,0.1969,0.0214,180468,0.4958,0.5042,0.1841,0.195,0.118,0.022,0.0024,
"40",211495,-0.0199,0.7889,0.1879,0.0232,171883,0.6122,0.3878,0.1482,0.0987,0.1303,0.0174,0.002,
"",215785,0.0469,0.5277,0.4555,0.0168,168626,0.6133,0.3867,0.0911,0.1988,0.0823,0.0195,0.0022,
