ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",26600,0.05,0.4247,0.5652,0.0101,19646,0.7989,0.2011,0.0236,0.0046,0.0042,0.1689,0.0008,
"2",26267,0.0369,0.3422,0.6427,0.0151,18476,0.8822,0.1178,0.0246,0.0328,0.0379,0.0168,0.0007,
"3",26595,0.0498,0.3799,0.6033,0.0168,20564,0.8586,0.1414,0.0424,0.0256,0.0286,0.0439,0.0018,
"4",26575,0.049,0.2819,0.698,0.0201,19707,0.9391,0.0609,0.0364,0.0025,0.0038,0.0152,0.0009,
"5",24953,-0.015,0.3242,0.6592,0.0166,19235,0.9229,0.0771,0.022,0.0062,0.0109,0.0369,0.001,
"6",25075,-0.0102,0.3467,0.6351,0.0182,16860,0.9159,0.0841,0.0238,0.019,0.0167,0.0177,0.0015,
"7",26511,0.0465,0.4482,0.5301,0.0217,21353,0.8738,0.1262,0.0326,0.0265,0.0402,0.0253,0.0014,
"8",26279,0.0373,0.3552,0.6273,0.0176,20078,0.9267,0.0733,0.0371,0.0078,0.008,0.0161,0.0016,
"9",26227,0.0353,0.3815,0.5994,0.0191,18611,0.8591,0.1409,0.0474,0.0395,0.0201,0.0299,0.0011,
"10",26279,0.0373,0.5274,0.452,0.0206,19751,0.7192,0.2808,0.0784,0.1051,0.0537,0.0458,0.0019,
"11",25954,0.0245,0.4255,0.5557,0.0188,19525,0.8496,0.1504,0.0542,0.035,0.024,0.0336,0.0016,
"12",25378,0.0018,0.4451,0.5369,0.018,19714,0.8515,0.1485,0.0453,0.042,0.0283,0.0289,0.001,
"13",24449,-0.0349,0.4167,0.5674,0.0159,18892,0.8988,0.1012,0.026,0.0266,0.0226,0.0212,0.0005,
"14",25494,0.0063,0.4426,0.541,0.0164,18871,0.8724,0.1276,0.035,0.0445,0.0245,0.0206,0.0006,
"15",26133,0.0316,0.5201,0.4531,0.0268,21204,0.7085,0.2915,0.0713,0.1019,0.0253,0.0938,0.0016,
"16",24252,-0.0427,0.3069,0.6789,0.0142,17912,0.9455,0.0545,0.0185,0.0058,0.0059,0.0178,0.0006,
"17",26401,0.0421,0.4048,0.5823,0.0129,20997,0.8785,0.1215,0.0307,0.0221,0.0263,0.035,0.002,
"18",24139,-0.0471,0.3851,0.5965,0.0183,19041,0.887,0.113,0.0452,0.0189,0.0077,0.0402,0.0007,
"19",24133,-0.0474,0.2692,0.713,0.0177,18358,0.9296,0.0704,0.0179,0.0084,0.0033,0.0383,0.0014,
"20",24078,-0.0496,0.3213,0.6611,0.0176,18523,0.9115,0.0885,0.0367,0.0098,0.0084,0.0331,0.0018,
"21",24573,-0.03,0.2666,0.7153,0.0181,18278,0.7984,0.2016,0.0223,0.0046,0.0057,0.1705,0.003,
"22",25958,0.0247,0.3253,0.6554,0.0193,19113,0.8136,0.1864,0.0866,0.0098,0.0674,0.023,0.0024,
"23",24173,-0.0458,0.2316,0.7473,0.0211,18688,0.9093,0.0907,0.0165,0.0072,0.0105,0.0568,0.0015,
"24",25038,-0.0117,0.3197,0.6665,0.0137,19134,0.8592,0.1408,0.0186,0.0083,0.0088,0.1007,0.0016,
"25",25864,0.0209,0.3576,0.6295,0.0128,18961,0.9069,0.0931,0.0227,0.0089,0.0098,0.0453,0.0009,
"26",23354,-0.0781,0.4615,0.5181,0.0204,15607,0.446,0.554,0.0158,0.0058,0.0062,0.5344,0.0012,
"27",23910,-0.0562,0.5319,0.45,0.0181,15818,0.3016,0.6984,0.0223,0.0076,0.0066,0.6765,0.0019,
"28",25943,0.0241,0.3242,0.6565,0.0193,18713,0.6393,0.3607,0.019,0.0056,0.0041,0.3304,0.0022,
"29",24978,-0.014,0.2486,0.7294,0.022,18726,0.8663,0.1337,0.0362,0.0245,0.0158,0.0507,0.0032,
"30",24858,-0.0188,0.2771,0.7067,0.0162,20145,0.8916,0.1084,0.0243,0.0079,0.0083,0.0592,0.0024,
"31",25768,0.0172,0.3361,0.6379,0.026,20823,0.9077,0.0923,0.0289,0.0082,0.0105,0.0386,0.0009,
"32",26547,0.0479,0.4389,0.5316,0.0294,20819,0.6676,0.3324,0.0542,0.0241,0.021,0.2394,0.0024,
"33",24788,-0.0215,0.3182,0.6604,0.0214,19177,0.862,0.138,0.0344,0.0136,0.019,0.069,0.0013,
"34",24132,-0.0474,0.3803,0.5972,0.0225,19042,0.8613,0.1387,0.0299,0.0174,0.0181,0.0692,0.0011,
"35",25011,-0.0127,0.3242,0.6547,0.0212,18893,0.7845,0.2155,0.0503,0.0264,0.0263,0.1121,0.0034,
"Summary",25333,0.1281,0.363,0.6185,0.0185,19122,0.8309,0.1691,0.0356,0.0223,0.0185,0.0906,0.0015,
